LOG1;DATA_HORA
AV.EDUARDO PRADO;20110208 17:00
AV.EDUARDO PRADO;20110208 17:00
AV.BENTO GONCALVES;20110208 17:00
R.LUIZ VOELCKER;20110208 17:00
ESTR.JOAO ANTONIO SILVEIRA;20110208 17:20
R.DA CONCEICAO;20110208 17:40
PCA JULIO DE CASTILHOS;20110208 17:40
R.OLAVO BARRETO VIANA;20110208 18:10
AV.FRANCISCO SILVEIRA BITENCOURT;20110208 18:28
ESTR.ANTONIO SEVERINO;20110208 18:30
ESTR.ANTONIO SEVERINO;20110208 18:45
AV.BENTO GONCALVES;20110208 19:33
AV.INDEPENDENCIA;20110208 20:00
R.ANTONIO CARLOS BERTA;20110208 20:20
R.GARIBALDI;20110208 20:45
AV.CARNEIRO DA FONTOURA;20110208 21:15
R.CORREA LIMA;20110208 22:55
AV.IPIRANGA;20110208 23:20
AV.IPIRANGA;20110208 23:30
R.VOLUNTARIOS DA PATRIA;20110209 00:20
R.DOS MAIAS;20110209 06:00
R.OLAVO BILAC;20110209 07:15
AV.PERNAMBUCO;20110209 07:48
AV.PROTASIO ALVES;20110209 08:00
AV.IPIRANGA;20110209 08:10
AV.PROF OSCAR.PEREIRA;20110209 08:20
AV.PLINIO BRASIL MILANO;20110209 09:05
ESTR.JOAO DE OLIVEIRA REMIAO;20110209 09:40
AV.SEVERO DULLIUS;20110209 09:40
AV.PROF OSCAR.PEREIRA;20110209 09:50
R.ALVARES DE AZEVEDO;20110209 10:00
AV.DR.NILO PECANHA;20110209 10:10
AV.PLINIO BRASIL MILANO;20110209 10:15
AV.BELEM;20110209 10:40
AV.PROTASIO ALVES;20110209 10:40
AV.A J RENNER;20110209 11:00
TUN NS DA CONCEICAO-ELEVADAS;20110209 11:15
AV.EDGAR.PIRES DE CASTRO;20110209 11:25
R.AMAPA;20110209 11:30
R.BARAO DO GUAIBA;20110209 11:30
R.VICENTE DA FONTOURA;20110209 11:30
R.DR.CAMPOS VELHO;20110209 12:00
AV.JOAO PESSOA;20110209 12:10
AV.BORGES DE MEDEIROS;20110209 12:30
AV.PROTASIO ALVES;20110209 13:00
AV.ASSIS BRASIL;20110209 13:20
AV.EDUARDO PRADO;20110209 13:30
AV.IPIRANGA;20110209 13:38
R.IRMAO JOSE OTAO;20110209 13:40
AV.ASSIS BRASIL;20110209 13:55
AV.BENTO GONCALVES;20110209 14:00
AV.DR.NILO PECANHA;20110209 14:00
R.SANTO INACIO;20110209 14:15
AV.GUAIBA;20110209 14:20
AV.PRESIDENTE CASTELO BRANCO;20110209 14:40
AV.ASSIS BRASIL;20110209 14:45
R.FREI CLEMENTE;20110209 14:50
R.MONSENHOR.VERAS;20110209 15:00
R.CABRAL;20110209 15:00
AV.PINHEIRO BORDA;20110209 15:30
R.FELIPE CAMARAO;20110209 15:30
AV.WENCESLAU ESCOBAR;20110209 15:45
AV.IPIRANGA;20110209 16:05
AV.IPIRANGA;20110209 16:25
R.VINTE QUATRO DE OUTUBRO;20110209 17:30
R.SOUZA REIS;20110209 17:45
AV.TERESOPOLIS;20110209 17:49
AV.OSVALDO ARANHA;20110209 17:58
AV.PROTASIO ALVES;20110209 18:10
AV.BENTO GONCALVES;20110209 18:20
AV.VICENTE MONTEGGIA;20110209 18:30
R.DA CONCEICAO;20110209 18:30
AV.IPIRANGA;20110209 18:39
AV.NONOAI;20110209 18:40
AV.ASSIS BRASIL;20110209 18:40
AV.PROTASIO ALVES;20110209 18:45
AV.AURELIANO DE FIGUEIREDO PINTO;20110209 18:50
AV.LOUREIRO DA SILVA;20110209 19:10
R.DR.SALVADOR.FRANCA;20110209 19:30
AV.BERNARDINO SILVEIRA DE AMORIM;20110209 19:35
AV.JOAO PESSOA;20110209 21:25
AV.CEL MARCOS;20110209 23:43
R.DR.CAMPOS VELHO;20110210 00:10
AV.BENTO GONCALVES;20110210 00:15
R.LOPO GONCALVES;20110210 01:30
AV.IPIRANGA;20110210 02:00
AV.SAO PEDRO;20110210 04:00
R.PROF IVO CORSEUIL;20110210 05:30
AV.BENTO GONCALVES;20110210 06:05
AV.SERTORIO;20110210 07:00
R.GEN VASCO ALVES;20110210 08:10
AV.IPIRANGA;20110210 08:10
AV.SILVADO;20110210 08:20
AV.JUCA BATISTA;20110210 08:30
AV.PRESIDENTE FRANKLIN ROOSEVELT;20110210 08:35
AV.SAO PEDRO;20110210 09:00
AV.JAIME VIGNOLI;20110210 09:00
AV.IPIRANGA;20110210 09:13
R.DR.CASTRO DE MENEZES;20110210 09:35
AV.JOAO FERREIRA JARDIM;20110210 09:35
R.JOAO GUIMARAES;20110210 09:40
AV.DA SERRARIA;20110210 10:00
AV.DR.NILO PECANHA;20110210 10:00
AV.GETULIO VARGAS;20110210 10:10
AV.MAUA;20110210 10:32
R.ITABORAI;20110210 11:00
R.MARQUES DO POMBAL;20110210 11:00
AV.SERTORIO;20110210 11:00
R.FELIPE NERI;20110210 11:05
R.FELIX DA CUNHA;20110210 11:08
R.RAMIRO BARCELOS;20110210 11:11
R.FREI GERMANO;20110210 11:25
AV.FARRAPOS;20110210 11:30
AV.CEARA;20110210 11:30
AV.LOUREIRO DA SILVA;20110210 11:40
AV.IPIRANGA;20110210 11:40
R.CEL MASSOT;20110210 11:55
AV.FARRAPOS;20110210 12:02
R.DONA LAURA;20110210 12:06
R.DONA ADDA MASCARENHAS DE MORAES;20110210 12:28
AV.BENTO GONCALVES;20110210 12:30
R.DR.POTY MEDEIROS;20110210 12:30
AV.DR.NILO PECANHA;20110210 12:30
AV.ASSIS BRASIL;20110210 12:50
R.QUINTINO BOCAIUVA;20110210 13:00
R.CARVALHO MONTEIRO;20110210 13:00
R.EUCLYDES MOURA;20110210 13:15
R.VALPARAISO;20110210 13:15
R.DR.CAMPOS VELHO;20110210 13:35
AV.PROF OSCAR.PEREIRA;20110210 13:56
R.JOAO GUIMARAES;20110210 14:00
R.SIQUEIRA CAMPOS;20110210 14:10
AV.DR.NILO PECANHA;20110210 14:11
AV.CRISTOVAO COLOMBO;20110210 14:30
R.BARBEDO;20110210 14:40
R.SAO GUILHERME;20110210 15:00
AV.PROTASIO ALVES;20110210 15:00
AV.FRANCISCO SILVEIRA BITENCOURT;20110210 15:00
AV.OSVALDO ARANHA;20110210 15:10
AV.ASSIS BRASIL;20110210 15:10
AV.A J RENNER;20110210 15:20
AV.SERTORIO;20110210 15:22
AV.DA CAVALHADA;20110210 15:30
R.GEN CAMARA;20110210 15:40
AV.VICENTE MONTEGGIA;20110210 16:00
AV.CARLOS GOMES;20110210 16:07
AV.COPACABANA;20110210 16:30
R.HILARIO RIBEIRO;20110210 16:30
R.VINTE QUATRO DE OUTUBRO;20110210 16:30
AV.BENTO GONCALVES;20110210 16:45
AV.EDGAR.PIRES DE CASTRO;20110210 17:20
R.BARAO DO GUAIBA;20110210 17:30
AV.FARRAPOS;20110210 17:30
AV.PROTASIO ALVES;20110210 17:30
AV.ASSIS BRASIL;20110210 17:30
AV.IPIRANGA;20110210 18:00
R.GUILHERME SCHELL;20110210 18:05
AV.PADRE CACIQUE;20110210 18:10
AV.PROTASIO ALVES;20110210 18:43
R.BARBEDO;20110210 18:55
AV.PROTASIO ALVES;20110210 19:30
R.GEN LIMA E SILVA;20110210 21:00
R.INTENDENTE ALFREDO AZEVEDO;20110210 21:30
R.CARLOS ESTEVAO;20110210 22:40
AV.JERONIMO DE ORNELAS;20110210 23:00
AV.JOAO PESSOA;20110211 00:05
AV.INDEPENDENCIA;20110211 02:40
AV.ASSIS BRASIL;20110211 03:20
AV.BENTO GONCALVES;20110211 07:20
R.ANTONIO JOAQUIM MESQUITA;20110211 07:20
AV.BORGES DE MEDEIROS;20110211 07:30
AV.PROF OSCAR.PEREIRA;20110211 08:00
AV.CRISTOVAO COLOMBO;20110211 08:00
AV.PROF OSCAR.PEREIRA;20110211 08:09
AV.PROF OSCAR.PEREIRA;20110211 08:15
AV.PROTASIO ALVES;20110211 08:45
AV.PLINIO BRASIL MILANO;20110211 08:55
VDT LEONEL BRIZOLA;20110211 09:00
AV.FARRAPOS;20110211 09:40
AV.GETULIO VARGAS;20110211 09:50
R.DEZOITO DE NOVEMBRO;20110211 10:00
AV.SENADOR.SALGADO FILHO;20110211 10:03
AV.GETULIO VARGAS;20110211 10:48
AV.IPIRANGA;20110211 11:00
AV.PERNAMBUCO;20110211 11:20
AV.MAUA;20110211 11:25
R.BARAO DE SANTO ANGELO;20110211 11:30
R.SANTOS DUMONT;20110211 11:30
R.MOSTARDEIRO;20110211 11:40
AV.ANTONIO CARVALHO;20110211 12:00
AV.PERNAMBUCO;20110211 12:02
R.JOSE DE ALENCAR;20110211 12:15
AV.BENTO GONCALVES;20110211 12:35
AV.IPIRANGA;20110211 12:35
R.VOLUNTARIOS DA PATRIA;20110211 12:39
AV.SEVERO DULLIUS;20110211 13:40
R.DUQUE DE CAXIAS;20110211 13:45
AV.ENG FREDERICO DAHNE;20110211 13:55
R.DR.ARY RAMOS DE LIMA;20110211 14:04
R.DONA MARGARIDA;20110211 14:11
R.DR.JOAO INACIO;20110211 14:15
AV.TULIO DE ROSE;20110211 14:21
AV.PAULO GAMA;20110211 14:30
R.VOLUNTARIOS DA PATRIA;20110211 14:57
AV.CEL LUCAS DE OLIVEIRA;20110211 15:30
AV.DANTE ANGELO PILLA;20110211 15:40
AV.BENJAMIN CONSTANT;20110211 15:50
R.DR.JOAO INACIO;20110211 16:10
R.DA CONCEICAO;20110211 16:20
AV.SERTORIO;20110211 16:28
AV.GETULIO VARGAS;20110211 16:30
AV.SENADOR.TARSO DUTRA;20110211 16:30
AV.MAUA;20110211 17:05
AV.SERTORIO;20110211 17:25
AV.SERTORIO;20110211 17:25
AV.SERTORIO;20110211 18:00
AV.BENTO GONCALVES;20110211 18:15
AV.MARTIM FELIX BERTA;20110211 18:20
AV.MAUA;20110211 18:40
AV.DA CAVALHADA;20110211 18:48
AV.EDVALDO PEREIRA PAIVA;20110211 19:10
AV.DO FORTE;20110211 19:10
R.NOVE DE JUNHO;20110211 20:50
R.DEMETRIO RIBEIRO;20110211 23:30
R.VOLUNTARIOS DA PATRIA;20110212 00:16
AV.ASSIS BRASIL;20110212 01:40
AV.IPIRANGA;20110212 02:35
AV.JOAO PESSOA;20110212 03:00
AV.BENTO GONCALVES;20110212 03:15
AV.PADRE CACIQUE;20110212 05:00
AV.SERTORIO;20110212 05:00
AV.ANTONIO CARVALHO;20110212 05:55
AV.BENTO GONCALVES;20110212 06:45
AV.PROTASIO ALVES;20110212 06:45
AV.JUCA BATISTA;20110212 06:50
AV.FARRAPOS;20110212 06:55
R.JOAO MOREIRA MACIEL;20110212 07:10
AV.PROTASIO ALVES;20110212 07:55
R.JOAO CAETANO;20110212 08:30
R.JOSE DE ALENCAR;20110212 08:40
R.EUDORO BERLINK;20110212 08:50
AV.EDGAR.PIRES DE CASTRO;20110212 09:00
R.JOAO CAETANO;20110212 09:10
AV.BORGES DE MEDEIROS;20110212 09:30
R.SARMENTO LEITE;20110212 09:30
AV.CEL LUCAS DE OLIVEIRA;20110212 09:30
AV.ASSIS BRASIL;20110212 09:40
AV.ASSIS BRASIL;20110212 10:35
AV.IPIRANGA;20110212 11:15
R.BARAO DO COTEGIPE;20110212 11:20
AV.ADELINO FERREIRA JARDIM;20110212 11:50
AV.PLINIO BRASIL MILANO;20110212 12:00
AV.OSVALDO ARANHA;20110212 12:10
R.GARIBALDI;20110212 12:15
AV.PRAIA DE BELAS;20110212 12:55
AV.BENTO GONCALVES;20110212 13:15
AV.PAULO GAMA;20110212 13:20
R.SANTOS PEDROSO;20110212 13:20
AV.FARRAPOS;20110212 13:20
R.CAIRU;20110212 13:30
R.WASHINGTON LUIZ;20110212 13:50
R.ATILIO SUPERTTI;20110212 14:00
R.EDU CHAVES;20110212 14:15
AV.JULIO DE CASTILHOS;20110212 14:30
AV.JULIO DE CASTILHOS;20110212 14:40
AV.IPIRANGA;20110212 14:45
PCA PRINCESA ISABEL;20110212 14:55
R.SILVA JARDIM;20110212 15:00
AV.BALTAZAR.DE OLIVEIRA GARCIA;20110212 15:00
AV.PADRE CACIQUE;20110212 15:08
AV.BENTO GONCALVES;20110212 15:20
AV.BENJAMIN CONSTANT;20110212 15:25
R.ALBERTO RANGEL;20110212 15:50
R.MORRETES;20110212 16:00
R.MORRETES;20110212 16:20
R.SANTO ANTONIO;20110212 16:50
AV.SANTO DIAS DA SILVA;20110212 16:50
AV.PROF OSCAR.PEREIRA;20110212 17:05
AV.BORGES DE MEDEIROS;20110212 17:45
R.ORFANOTROFIO;20110212 18:00
AV.CRISTOVAO COLOMBO;20110212 18:00
AV.MARTIM FELIX BERTA;20110212 18:40
AV.FRANCISCO SILVEIRA BITENCOURT;20110212 18:45
R.DR.PEREIRA NETO;20110212 19:00
R.DR.CAMPOS VELHO;20110212 19:20
ESTR.JOAO DE OLIVEIRA REMIAO;20110212 20:30
AV.PROF OSCAR.PEREIRA;20110212 21:10
AV.SERTORIO;20110212 21:35
R.VOLUNTARIOS DA PATRIA;20110212 22:10
R.JOAO ALFREDO;20110212 22:30
R.TEN ALPOIM;20110212 22:30
AV.SERTORIO;20110212 23:35
AV.NONOAI;20110213 00:22
R.DEMETRIO RIBEIRO;20110213 01:20
AV.ANTONIO CARVALHO;20110213 06:20
AV.WENCESLAU ESCOBAR;20110213 06:30
R.VICENTE DA FONTOURA;20110213 09:30
R.SAIBREIRA;20110213 09:30
R.LEITE DE CASTRO;20110213 10:10
AV.ASSIS BRASIL;20110213 11:00
AV.PINHEIRO BORDA;20110213 11:20
R.MOSTARDEIRO;20110213 12:05
AV.JUCA BATISTA;20110213 14:00
AV.PROTASIO ALVES;20110213 14:30
AV.PAULO GAMA;20110213 15:20
R.VICENTE DA FONTOURA;20110213 15:20
R.ERNESTO PELLANDA;20110213 16:20
AV.IPIRANGA;20110213 16:41
AV.ADELINO FERREIRA JARDIM;20110213 16:50
AV.PADRE CACIQUE;20110213 17:20
R.ENG LUIZ ENGLERT;20110213 18:50
AV.PRAIA DE BELAS;20110213 19:00
AV.DA CAVALHADA;20110213 21:05
R.FELIZARDO FURTADO;20110213 22:00
R.GERVAZIO BRAGA PINHEIRO;20110213 22:00
AV.EDVALDO PEREIRA PAIVA;20110213 22:15
R.ALBERTO RANGEL;20110213 22:30
AV.FARIA LOBATO;20110214 01:50
AV.IPIRANGA;20110214 02:45
AV.NONOAI;20110214 06:05
R.DONA MARGARIDA;20110214 07:25
AV.FARRAPOS;20110214 07:40
R.ORFANOTROFIO;20110214 08:00
AV.TERESOPOLIS;20110214 08:10
AV.MANOEL ELIAS;20110214 08:10
AV.CARLOS GOMES;20110214 08:15
R.FERNANDES VIEIRA;20110214 08:26
R.VOLUNTARIOS DA PATRIA;20110214 09:00
LG VESPASIANO JULIO VEPPO;20110214 09:01
R.RAMIRO BARCELOS;20110214 09:30
R.DEMETRIO RIBEIRO;20110214 09:40
R.DONA LAURA;20110214 10:00
AV.DESEMBARGADOR.ANDRE DA ROCHA;20110214 10:35
AV.IPIRANGA;20110214 10:42
AV.CEL APARICIO BORGES;20110214 11:00
R.BORORO;20110214 11:10
R.BADEN POWELL;20110214 11:15
AV.CRISTOVAO COLOMBO;20110214 11:30
AV.FARRAPOS;20110214 11:35
AV.EDGAR.PIRES DE CASTRO;20110214 12:00
R.SANTANA;20110214 12:24
TUN NS DA CONCEICAO-GALERIA INFERIOR;20110214 13:10
R.JOSE DE ALENCAR;20110214 13:15
R.DUQUE DE CAXIAS;20110214 13:15
AV.JOAO PESSOA;20110214 13:20
R.PROF CLEMENTE PINTO;20110214 13:20
R.MATA BACELAR;20110214 13:20
AV.JUCA BATISTA;20110214 13:35
AV.CEL MARCOS;20110214 14:20
AV.VICENTE MONTEGGIA;20110214 14:25
R.FREI GERMANO;20110214 15:10
AV.FARRAPOS;20110214 15:15
R.CAPITAO ANDRE LAGO PARIS;20110214 15:19
R.PROF CRISTIANO FISCHER;20110214 15:20
AV.CARLOS GOMES;20110214 15:35
AV.PROF OSCAR.PEREIRA;20110214 15:40
AV.IPIRANGA;20110214 15:40
AV.NONOAI;20110214 16:00
AV.BENTO GONCALVES;20110214 16:00
R.DONA MARGARIDA;20110214 16:10
R.JULIO VERNE;20110214 16:20
AV.PROTASIO ALVES;20110214 16:38
AV.PRESIDENTE FRANKLIN ROOSEVELT;20110214 16:50
R.TRES DE MAIO;20110214 17:00
AV.SAO PEDRO;20110214 17:00
AV.JOAO PESSOA;20110214 17:20
AV.PROTASIO ALVES;20110214 17:25
R.VICENTE DA FONTOURA;20110214 17:30
R.NUNES;20110214 17:45
ESTR.JOAO DE OLIVEIRA REMIAO;20110214 17:45
R.VICENTE DA FONTOURA;20110214 18:00
AV.IPIRANGA;20110214 18:36
AV.IPIRANGA;20110214 18:40
AV.NONOAI;20110214 19:00
AV.BENTO GONCALVES;20110214 19:00
AV.FARRAPOS;20110214 19:03
ESTR.CRISTIANO KRAEMER;20110214 19:10
AV.BENTO GONCALVES;20110214 19:30
AV.PROTASIO ALVES;20110214 19:30
AV.CEL LUCAS DE OLIVEIRA;20110214 19:40
R.FIGUEIREDO MASCARENHAS;20110214 19:55
AV.EDGAR.PIRES DE CASTRO;20110214 20:30
AV.WENCESLAU ESCOBAR;20110214 21:00
AV.A J RENNER;20110214 22:20
AV.NEUSA GOULART BRIZOLA;20110214 22:30
AV.OTTO NIEMEYER;20110214 23:00
AV.BALTAZAR.DE OLIVEIRA GARCIA;20110215 00:15
AV.FRANCISCO SILVEIRA BITENCOURT;20110215 02:55
AV.PROTASIO ALVES;20110215 07:40
ESTR.JOAO PASSUELO;20110215 07:45
AV.BENTO GONCALVES;20110215 08:00
ESTR.JOAO DE OLIVEIRA REMIAO;20110215 08:00
R.GARIBALDI;20110215 08:15
AV.AURELIANO DE FIGUEIREDO PINTO;20110215 08:25
AV.BENNO MENTZ;20110215 08:55
R.VICENTE DA FONTOURA;20110215 09:00
AV.PATRIA;20110215 09:05
AL MAJOR.FRANCISCO BARCELOS;20110215 09:28
R.DEMETRIO RIBEIRO;20110215 09:30
AV.LOUREIRO DA SILVA;20110215 09:35
AV.DR.CARLOS BARBOSA;20110215 09:45
AV.SERTORIO;20110215 09:45
AV.BENTO GONCALVES;20110215 10:10
AV.IPIRANGA;20110215 10:15
AV.SERTORIO;20110215 10:15
AV.SENADOR.DANIEL KRIEGER;20110215 10:40
AV.DOS ESTADOS;20110215 10:42
AV.IPIRANGA;20110215 10:45
AV.SERTORIO;20110215 10:50
R.ALBERTO SILVA;20110215 11:30
AV.VICENTE MONTEGGIA;20110215 11:45
R.DOS ANDRADAS;20110215 13:00
R.SARMENTO LEITE;20110215 13:30
AV.FRANCISCO SILVEIRA BITENCOURT;20110215 13:30
AV.PRESIDENTE JOAO GOULART;20110215 13:43
R.VALENTIM VICENTINI;20110215 13:56
AV.BENTO GONCALVES;20110215 14:20
R.GUILHERME SCHELL;20110215 14:50
R.IRMAO JOSE OTAO;20110215 14:50
AV.TERESOPOLIS;20110215 15:12
AV.TERESOPOLIS;20110215 15:38
AV.IPIRANGA;20110215 15:40
AV.SERTORIO;20110215 15:40
AV.DR.CARLOS BARBOSA;20110215 15:45
R.JOAO ALFREDO;20110215 15:46
AV.LOUREIRO DA SILVA;20110215 16:00
R.DONA ALZIRA;20110215 16:00
R.BARBEDO;20110215 16:25
R.TUPINAMBA;20110215 16:30
AV.FARRAPOS;20110215 16:35
R.FURRIEL LUIZ ANTONIO DE VARGAS;20110215 16:40
ESTR.JOAO ANTONIO SILVEIRA;20110215 16:50
AV.BRASIL;20110215 16:50
AV.CRISTOVAO COLOMBO;20110215 18:00
R.BORBOREMA;20110215 18:00
R.VOLUNTARIOS DA PATRIA;20110215 18:00
R.MARCIO DIAS;20110215 18:03
R.CEL FERNANDO MACHADO;20110215 18:15
R.MARQUES DO HERVAL;20110215 18:15
R.CEL FERNANDO MACHADO;20110215 18:30
AV.PROTASIO ALVES;20110215 18:33
R.IBIRUBA;20110215 19:00
R.DA CONCEICAO;20110215 19:00
AV.MAUA;20110215 19:05
AV.ASSIS BRASIL;20110215 19:15
AV.EDVALDO PEREIRA PAIVA;20110215 19:50
AV.GETULIO VARGAS;20110215 21:30
AV.IPIRANGA;20110215 22:40
AV.IPIRANGA;20110215 22:50
AV.BALTAZAR.DE OLIVEIRA GARCIA;20110216 00:01
AV.FARRAPOS;20110216 01:00
AV.CRISTOVAO COLOMBO;20110216 03:15
AV.INDEPENDENCIA;20110216 05:15
R.ENIO AVELINE DA ROCHA;20110216 06:40
AV.IPIRANGA;20110216 07:00
AV.DAS INDUSTRIAS;20110216 07:15
AV.SERTORIO;20110216 07:30
AV.ASSIS BRASIL;20110216 07:30
AV.ANTONIO CARVALHO;20110216 08:10
AV.BALTAZAR.DE OLIVEIRA GARCIA;20110216 08:18
AV.SEVERO DULLIUS;20110216 08:25
R.PADRE CHAGAS;20110216 08:30
R.FELIPE DE OLIVEIRA;20110216 08:40
AV.PROTASIO ALVES;20110216 08:40
AV.BORGES DE MEDEIROS;20110216 08:45
AV.JOAO PESSOA;20110216 08:45
R.SALDANHA DA GAMA;20110216 08:45
AV.BENTO GONCALVES;20110216 08:48
AV.PROTASIO ALVES;20110216 08:50
AV.JUCA BATISTA;20110216 09:10
R.ANITA GARIBALDI;20110216 09:15
AV.PLINIO BRASIL MILANO;20110216 09:15
AV.IGUASSU;20110216 09:20
BC JOSE PARIS;20110216 09:28
AV.EDUARDO PRADO;20110216 09:30
R.MANDUCA RODRIGUES;20110216 09:30
R.MONSENHOR.ANTONIO GUILHERME GRINGS;20110216 09:56
AV.BENTO GONCALVES;20110216 10:30
AV.CEL MARCOS;20110216 10:40
R.JOAO PARIS;20110216 11:05
R.ANGELO CRIVELLARO;20110216 11:15
AV.DR.NILO PECANHA;20110216 11:16
R.GUADALAJARA;20110216 11:22
AV.PROTASIO ALVES;20110216 11:30
R.DESEMBARGADOR.ALVES NOGUEIRA;20110216 11:39
R.BARAO DO COTEGIPE;20110216 11:48
AV.LAVRAS;20110216 12:10
R.PEREIRA FRANCO;20110216 12:30
R.CORCOVADO;20110216 12:35
AV.DA AZENHA;20110216 13:00
AV.DR.JOAO SIMPLICIO A DE CARVALHO;20110216 13:38
R.FURRIEL LUIZ ANTONIO DE VARGAS;20110216 14:00
AV.SERTORIO;20110216 14:00
AV.NONOAI;20110216 14:15
AV.TERESOPOLIS;20110216 14:30
AV.DA AZENHA;20110216 14:30
AV.TERESOPOLIS;20110216 15:00
R.FELIPE DE OLIVEIRA;20110216 15:00
AV.DA CAVALHADA;20110216 15:05
AV.TERESOPOLIS;20110216 15:20
AV.PROTASIO ALVES;20110216 15:20
AV.FARRAPOS;20110216 15:50
AV.GETULIO VARGAS;20110216 16:00
R.MOSTARDEIRO;20110216 16:00
R.FERNANDO ABBOTT;20110216 16:00
AV.PRESIDENTE FRANKLIN ROOSEVELT;20110216 16:10
AV.SERTORIO;20110216 16:38
AV.NONOAI;20110216 17:20
AV.JOAO PESSOA;20110216 17:25
AV.BENTO GONCALVES;20110216 17:40
AV.IPIRANGA;20110216 18:00
AV.FARRAPOS;20110216 18:00
AV.IPIRANGA;20110216 18:10
R.JOSE PEDRO BOESSIO;20110216 18:10
AV.PRESIDENTE CASTELO BRANCO;20110216 18:20
AV.CARLOS GOMES;20110216 18:30
AV.PROTASIO ALVES;20110216 18:50
AV.NONOAI;20110216 19:10
AV.PROTASIO ALVES;20110216 19:20
AV.JULIO DE CASTILHOS;20110216 19:30
AV.FARRAPOS;20110216 19:31
AV.PRESIDENTE CASTELO BRANCO;20110216 20:15
AV.BENTO GONCALVES;20110216 20:40
R.DR.MURTINHO;20110216 22:00
AV.DR.NILO PECANHA;20110216 22:30
AV.CARNEIRO DA FONTOURA;20110217 00:05
AV.BENTO GONCALVES;20110217 01:15
R.PELOTAS;20110217 03:10
AV.PROTASIO ALVES;20110217 05:30
R.ALMIRANTE BARROSO;20110217 07:00
AV.ICARAI;20110217 07:07
AV.BERNARDINO SILVEIRA DE AMORIM;20110217 07:27
AV.VICENTE MONTEGGIA;20110217 07:30
AV.PROTASIO ALVES;20110217 07:40
AV.A J RENNER;20110217 07:40
R.RAMIRO BARCELOS;20110217 08:20
R.LUIZ DE CAMOES;20110217 08:40
AV.CRISTOVAO COLOMBO;20110217 08:42
AV.DAS INDUSTRIAS;20110217 08:45
AV.PROTASIO ALVES;20110217 08:54
AV.MAUA;20110217 09:16
AV.IPE;20110217 09:30
AV.CRISTOVAO COLOMBO;20110217 10:00
AV.OTTO NIEMEYER;20110217 10:20
AV.SAO PEDRO;20110217 10:20
R.DEMETRIO RIBEIRO;20110217 10:30
R.GUILHERME SCHELL;20110217 10:45
R.SENHOR.DO BOM FIM;20110217 10:50
AV.BENTO GONCALVES;20110217 10:55
AV.FARRAPOS;20110217 10:55
R.ANITA GARIBALDI;20110217 11:45
R.COSTA;20110217 11:50
AV.GOETHE;20110217 12:25
R.ERECHIM;20110217 12:40
R.DR.CAMPOS VELHO;20110217 13:20
R.CHILE;20110217 13:25
R.BAZILIO PELLIN FILHO;20110217 13:40
R.DUQUE DE CAXIAS;20110217 14:00
AV.TERESOPOLIS;20110217 14:00
AV.DESEMBARGADOR.ANDRE DA ROCHA;20110217 14:20
AV.DA CAVALHADA;20110217 14:30
AV.TERESOPOLIS;20110217 14:38
R.CEL JOAO PINTO;20110217 15:25
AV.JUCA BATISTA;20110217 15:45
AV.OSVALDO ARANHA;20110217 16:10
AV.JOAO PESSOA;20110217 16:15
R.DR.PEREIRA NETO;20110217 16:20
AV.CHUI;20110217 16:20
R.FERNANDO ABBOTT;20110217 16:50
R.MARIANTE;20110217 17:05
AV.CEL LUCAS DE OLIVEIRA;20110217 17:10
AV.BORGES DE MEDEIROS;20110217 17:17
AV.OTTO NIEMEYER;20110217 17:20
AV.PROTASIO ALVES;20110217 17:30
AV.SERTORIO;20110217 17:30
R.ALMIRANTE TAMANDARE;20110217 17:45
AV.SERTORIO;20110217 18:10
AV.JOAO PESSOA;20110217 18:15
R.DUQUE DE CAXIAS;20110217 18:30
AV.CEL APARICIO BORGES;20110217 18:40
AV.BENTO GONCALVES;20110217 19:20
AV.BASTIAN;20110217 20:00
AV.EDVALDO PEREIRA PAIVA;20110217 20:40
AV.DO FORTE;20110217 21:05
R.ADELINO MACHADO DE SOUZA;20110217 22:00
R.MARIANO DE MATOS;20110217 22:10
R.DAMASCO;20110217 22:10
AV.BENTO GONCALVES;20110217 22:36
AV.PROTASIO ALVES;20110218 04:20
AV.PROTASIO ALVES;20110218 05:25
AV.WENCESLAU ESCOBAR;20110218 05:30
AV.ASSIS BRASIL;20110218 06:30
AV.PROF OSCAR.PEREIRA;20110218 06:50
AV.PRINCESA ISABEL;20110218 07:00
AV.SERTORIO;20110218 07:20
AV.JUCA BATISTA;20110218 08:00
R.AMAPA;20110218 08:30
AV.CARLOS GOMES;20110218 08:30
AV.PLINIO BRASIL MILANO;20110218 08:30
AV.PATRIA;20110218 08:50
R.VICENTE DA FONTOURA;20110218 09:00
AV.TEIXEIRA MENDES;20110218 09:05
AV.DR.NILO PECANHA;20110218 09:15
AV.PAULO GAMA;20110218 09:45
AV.EDGAR.PIRES DE CASTRO;20110218 10:50
R.JEROLOMO MINUZO;20110218 11:00
AV.SERTORIO;20110218 11:00
R.EDU CHAVES;20110218 11:20
AV.CRISTOVAO COLOMBO;20110218 11:30
R.GEN JOAO TELLES;20110218 12:00
AV.BRASIL;20110218 12:00
R.PAULINO CHAVES;20110218 12:15
R.DR.SALVADOR.FRANCA;20110218 12:20
R.PADRE CHAGAS;20110218 12:35
R.GEN COUTO DE MAGALHAES;20110218 13:00
AV.JERONIMO DE ORNELAS;20110218 13:15
R.CANCIO GOMES;20110218 13:20
