LOG1;DATA_HORA
R.CECILIA MEIRELES;20090106 14:20
AV.ASSIS BRASIL;20090106 14:25
R.ARABUTAN;20090106 14:50
AV.MAUA;20090106 15:00
AV.JOAO OBINO;20090106 15:00
AV.EDUARDO PRADO;20090106 15:08
AV.ASSIS BRASIL;20090106 15:30
R.CAIRU;20090106 16:10
ESTR.JOAO DE OLIVEIRA REMIAO;20090106 16:25
R.FELIZARDO;20090106 16:28
R.DOM PEDRO II;20090106 16:30
AV.IPIRANGA;20090106 16:35
AV.BORGES DE MEDEIROS;20090106 16:40
AV.PRINCESA ISABEL;20090106 17:05
AV.JUCA BATISTA;20090106 17:45
AV.BENTO GONCALVES;20090106 17:45
R.LUZITANA;20090106 17:50
AV.DR.NILO PECANHA;20090106 18:00
AV.LOUREIRO DA SILVA;20090106 18:10
R.BARAO DO GRAVATAI;20090106 18:20
AV.PROTASIO ALVES;20090106 18:20
R.GEN COUTO DE MAGALHAES;20090106 18:20
AV.ASSIS BRASIL;20090106 18:20
ESTR.JOAO ANTONIO SILVEIRA;20090106 18:25
R.MIGUEL TOSTES;20090106 18:30
AV.BOGOTA;20090106 18:40
PCA DOM FELICIANO;20090106 18:50
AV.DA CAVALHADA;20090106 19:05
AV.PALMEIRA;20090106 19:20
AV.BELEM;20090106 19:25
R.SAMPAULO;20090106 19:30
R.ATILIO SUPERTTI;20090106 21:05
R.ALCIDES DE OLIVEIRA GOMES;20090106 21:50
AV.EDGAR.PIRES DE CASTRO;20090106 22:50
AV.INDEPENDENCIA;20090107 00:20
AV.CEARA;20090107 07:15
R.LOBO DA COSTA;20090107 07:30
AV.DESEMBARGADOR.ANDRE DA ROCHA;20090107 07:45
AV.A J RENNER;20090107 07:47
AV.PROTASIO ALVES;20090107 08:00
AV.JOAO PESSOA;20090107 08:30
AV.NONOAI;20090107 08:35
R.PEREIRA FRANCO;20090107 08:40
AV.ASSIS BRASIL;20090107 09:00
AV.IPIRANGA;20090107 09:40
AV.FRANCA;20090107 10:10
R.GOMES DE FREITAS;20090107 10:30
R.MARIANTE;20090107 10:35
AV.ASSIS BRASIL;20090107 11:30
AV.CEARA;20090107 12:00
AV.ASSIS BRASIL;20090107 12:25
AV.OTTO NIEMEYER;20090107 12:30
AV.BENTO GONCALVES;20090107 12:30
R.VALPARAISO;20090107 12:35
R.SAO JOAQUIM;20090107 12:40
AV.PROTASIO ALVES;20090107 12:45
AV.GOETHE;20090107 13:00
R.RAMIRO BARCELOS;20090107 13:10
PCA ARGENTINA;20090107 14:00
R.CEL JOAO PINTO;20090107 14:03
R.JOSE DE ALENCAR;20090107 14:10
AV.ASSIS BRASIL;20090107 14:10
AV.SERTORIO;20090107 14:15
AV.BENTO GONCALVES;20090107 14:25
R.TEN ARY TARRAGO;20090107 14:25
AV.IPIRANGA;20090107 14:45
AV.BERNARDINO SILVEIRA DE AMORIM;20090107 14:50
AV.ASSIS BRASIL;20090107 15:15
AV.EDGAR.PIRES DE CASTRO;20090107 15:25
R.LANDEL DE MOURA;20090107 15:30
R.MOSTARDEIRO;20090107 15:30
AV.FARRAPOS;20090107 15:30
AV.ASSIS BRASIL;20090107 15:30
AV.ASSIS BRASIL;20090107 15:45
AV.IPIRANGA;20090107 16:25
R.DR.CAMPOS VELHO;20090107 16:40
AV.OSVALDO ARANHA;20090107 16:40
R.VINTE QUATRO DE OUTUBRO;20090107 16:45
AV.PADRE CACIQUE;20090107 16:50
R.DA CONCEICAO;20090107 16:55
AV.DR.NILO PECANHA;20090107 17:25
AV.FARRAPOS;20090107 17:30
AV.BENTO GONCALVES;20090107 17:56
AV.ASSIS BRASIL;20090107 18:09
R.MIGUEL COUTO;20090107 18:45
R.VICENTE DA FONTOURA;20090107 18:45
AV.EDGAR.PIRES DE CASTRO;20090107 19:00
AV.ANTONIO CARVALHO;20090107 19:25
R.OSCAR.SCHNEIDER;20090107 19:30
AV.PROTASIO ALVES;20090107 19:30
R.BARAO DO CERRO LARGO;20090107 20:00
AV.PROTASIO ALVES;20090107 21:50
AV.GUAIBA;20090107 22:15
ESTR.CRISTIANO KRAEMER;20090108 00:30
AV.VENANCIO AIRES;20090108 04:03
R.OSCAR.SCHNEIDER;20090108 06:00
AV.TERESOPOLIS;20090108 06:15
R.ENG LUIZ ENGLERT;20090108 06:50
AV.PRINCESA ISABEL;20090108 07:22
AV.SEVERO DULLIUS;20090108 07:40
R.MARIANTE;20090108 08:00
AV.FERNANDO FERRARI;20090108 08:05
AV.PROTASIO ALVES;20090108 08:20
